Station_ID,maintFlag,WRK_DAY2,useHrs
Station-3,0,9/20/2019,24
Station-3,0,9/19/2019,24
Station-3,0,9/18/2019,24
Station-3,0,9/17/2019,24
Station-3,1,9/16/2019,24
Station-3,1,9/15/2019,24
Station-3,0,9/14/2019,10
Station-3,1,9/14/2019,14
Station-3,0,9/13/2019,19
Station-3,1,9/13/2019,5
Station-3,0,9/12/2019,24
Station-3,0,9/11/2019,24
Station-3,0,9/10/2019,24
Station-3,0,9/9/2019,24
Station-3,1,9/8/2019,24
Station-3,0,9/7/2019,10
Station-3,1,9/7/2019,14
Station-3,0,9/6/2019,24
Station-3,0,9/5/2019,14
Station-3,1,9/5/2019,10
Station-3,0,9/4/2019,24
Station-3,0,9/3/2019,24
Station-3,0,9/2/2019,24
Station-3,1,9/1/2019,24
Station-3,1,8/31/2019,14
Station-3,0,8/31/2019,10
Station-3,0,8/30/2019,19
Station-3,1,8/30/2019,5
Station-3,0,8/29/2019,24
Station-3,0,8/28/2019,24
Station-3,1,8/27/2019,24
Station-3,1,8/26/2019,24
Station-3,1,8/25/2019,24
Station-3,1,8/24/2019,24
Station-3,1,8/23/2019,24
Station-3,1,8/22/2019,24
Station-3,1,8/21/2019,24
Station-3,1,8/20/2019,24
Station-3,1,8/19/2019,24
Station-3,1,8/18/2019,24
Station-3,1,8/17/2019,24
Station-3,1,8/16/2019,24
Station-3,1,8/15/2019,24
Station-3,1,8/14/2019,24
Station-3,1,8/13/2019,24
Station-3,1,8/12/2019,24
Station-3,1,8/10/2019,49
Station-3,1,8/9/2019,24
Station-3,1,8/8/2019,24
Station-3,1,8/7/2019,24
Station-3,1,8/6/2019,24
Station-3,1,8/5/2019,24
Station-3,1,8/4/2019,24
Station-3,1,8/3/2019,24
Station-3,1,8/2/2019,24
Station-3,1,8/1/2019,24
Station-3,1,7/31/2019,24
Station-3,1,7/30/2019,24
Station-3,1,7/29/2019,24
Station-3,1,7/28/2019,24
Station-3,1,7/27/2019,24
Station-3,1,7/26/2019,24
Station-3,1,7/25/2019,24
Station-3,1,7/24/2019,24
Station-3,1,7/23/2019,24
Station-3,1,7/22/2019,24
Station-3,1,7/21/2019,48
Station-3,1,7/20/2019,24
Station-3,1,7/19/2019,24
Station-3,1,7/18/2019,24
Station-3,1,7/17/2019,24
Station-3,1,7/16/2019,24
Station-3,1,7/15/2019,24
Station-3,1,7/14/2019,24
Station-3,1,7/13/2019,24
Station-3,1,7/12/2019,24
Station-3,1,7/11/2019,24
Station-3,1,7/10/2019,24
Station-3,1,7/9/2019,24
Station-3,1,7/8/2019,24
Station-3,1,7/7/2019,24
Station-3,1,7/6/2019,24
Station-3,1,7/5/2019,24
Station-3,1,7/4/2019,24
Station-3,1,7/3/2019,24
Station-3,1,7/2/2019,24
Station-3,1,7/1/2019,24
Station-3,1,6/30/2019,24
Station-3,1,6/29/2019,24
Station-3,1,6/28/2019,24
Station-3,1,6/27/2019,24
Station-3,1,6/26/2019,24
Station-3,1,6/25/2019,24
Station-3,1,6/24/2019,24
Station-3,1,6/23/2019,24
Station-3,1,6/22/2019,24
Station-3,1,6/21/2019,24
Station-3,1,6/20/2019,24
Station-3,1,6/19/2019,24
Station-3,1,6/18/2019,24
Station-3,1,6/17/2019,24
Station-3,1,6/16/2019,24
Station-3,1,6/15/2019,24
Station-3,1,6/14/2019,24
Station-3,1,6/13/2019,24
Station-3,1,6/12/2019,24
Station-3,1,6/11/2019,24
Station-3,1,6/10/2019,24
Station-3,1,6/9/2019,24
Station-3,1,6/8/2019,24
Station-3,1,6/7/2019,24
Station-3,1,6/6/2019,24
Station-3,1,6/5/2019,24
Station-3,1,6/4/2019,24
Station-3,1,6/3/2019,24
Station-3,1,6/2/2019,24
Station-3,1,6/1/2019,24
Station-3,1,5/31/2019,5
