Station_ID,maintFlag,WRK_DAY2,useHrs
Station-4,0,1/21/2020,19
Station-2,1,1/21/2020,5
Station-5,0,1/21/2020,24
Station-2,0,1/21/2020,19
Station-1,1,1/21/2020,5
Station-3,1,1/21/2020,5
Station-4,1,1/21/2020,5
Station-3,0,1/21/2020,19
Station-1,0,1/21/2020,19
Station-6,1,1/21/2020,24
Station-6,1,1/20/2020,24
Station-3,0,1/20/2020,19
Station-2,0,1/20/2020,19
Station-2,1,1/20/2020,5
Station-5,0,1/20/2020,24
Station-1,0,1/20/2020,19
Station-3,1,1/20/2020,5
Station-4,0,1/20/2020,19
Station-1,1,1/20/2020,5
Station-4,1,1/20/2020,5
Station-5,1,1/19/2020,19
Station-4,1,1/19/2020,19
Station-4,0,1/19/2020,5
Station-6,1,1/19/2020,24
Station-2,1,1/19/2020,24
Station-1,1,1/19/2020,24
Station-3,1,1/19/2020,24
Station-5,0,1/19/2020,5
Station-4,1,1/18/2020,14
Station-6,1,1/18/2020,24
Station-3,1,1/18/2020,24
Station-4,0,1/18/2020,10
Station-5,1,1/18/2020,14
Station-5,0,1/18/2020,10
Station-1,0,1/18/2020,10
Station-1,1,1/18/2020,14
Station-2,1,1/18/2020,24
Station-4,0,1/17/2020,19
Station-5,0,1/17/2020,19
Station-3,1,1/17/2020,5
Station-1,1,1/17/2020,5
Station-1,0,1/17/2020,19
Station-2,0,1/17/2020,19
Station-3,0,1/17/2020,19
Station-6,1,1/17/2020,24
Station-5,1,1/17/2020,5
Station-2,1,1/17/2020,5
Station-4,1,1/17/2020,5
Station-4,0,1/16/2020,24
Station-3,0,1/16/2020,19
Station-2,0,1/16/2020,19
Station-5,0,1/16/2020,24
Station-3,1,1/16/2020,5
Station-2,1,1/16/2020,5
Station-1,0,1/16/2020,19
Station-1,1,1/16/2020,5
Station-6,1,1/16/2020,24
Station-4,0,1/15/2020,24
Station-3,1,1/15/2020,5
Station-6,1,1/15/2020,24
Station-5,0,1/15/2020,24
Station-3,0,1/15/2020,19
Station-1,1,1/15/2020,5
Station-2,0,1/15/2020,24
Station-1,0,1/15/2020,19
Station-3,0,1/14/2020,19
Station-4,0,1/14/2020,19
Station-5,1,1/14/2020,5
Station-2,0,1/14/2020,19
Station-3,1,1/14/2020,5
Station-6,1,1/14/2020,24
Station-1,1,1/14/2020,5
Station-2,1,1/14/2020,5
Station-5,0,1/14/2020,19
Station-1,0,1/14/2020,19
Station-4,1,1/14/2020,5
Station-6,1,1/13/2020,24
Station-4,1,1/13/2020,5
Station-2,0,1/13/2020,19
Station-5,1,1/13/2020,5
Station-2,1,1/13/2020,5
Station-4,0,1/13/2020,19
Station-3,0,1/13/2020,19
Station-1,1,1/13/2020,5
Station-5,0,1/13/2020,19
Station-3,1,1/13/2020,5
Station-1,0,1/13/2020,19
Station-1,1,1/12/2020,24
Station-5,1,1/12/2020,19
Station-3,1,1/12/2020,24
Station-4,0,1/12/2020,5
Station-2,1,1/12/2020,24
Station-6,1,1/12/2020,24
Station-4,1,1/12/2020,19
Station-5,0,1/12/2020,5
Station-3,1,1/11/2020,24
Station-2,1,1/11/2020,24
Station-4,1,1/11/2020,24
Station-6,1,1/11/2020,24
Station-5,1,1/11/2020,24
Station-1,1,1/11/2020,24
Station-4,0,1/10/2020,19
Station-1,1,1/10/2020,5
Station-3,1,1/10/2020,5
Station-1,0,1/10/2020,19
Station-5,1,1/10/2020,5
Station-4,1,1/10/2020,5
Station-3,0,1/10/2020,19
Station-2,1,1/10/2020,5
Station-2,0,1/10/2020,19
Station-6,1,1/10/2020,24
Station-5,0,1/10/2020,19
Station-2,0,1/9/2020,24
Station-3,1,1/9/2020,5
Station-3,0,1/9/2020,19
Station-5,0,1/9/2020,24
Station-1,0,1/9/2020,19
Station-1,1,1/9/2020,5
Station-6,1,1/9/2020,24
Station-4,0,1/9/2020,24
Station-5,0,1/8/2020,19
Station-3,1,1/8/2020,5
Station-1,1,1/8/2020,24
Station-3,0,1/8/2020,19
Station-5,1,1/8/2020,5
Station-2,1,1/8/2020,5
Station-4,0,1/8/2020,24
Station-2,0,1/8/2020,19
Station-6,1,1/8/2020,24
Station-3,1,1/7/2020,5
Station-4,0,1/7/2020,19
Station-5,0,1/7/2020,24
Station-6,1,1/7/2020,24
Station-1,1,1/7/2020,24
Station-3,0,1/7/2020,19
Station-4,1,1/7/2020,5
